id,api_id,name,address_line1,address_line2,city,county,postcode,nation,country,full_address,latitude,longitude,website,store_url
29914,/api/store_locators/29914,Eclipse Flooring,Unit 1 Tarran Way South,Wirral,Moreton,England,CH46 4TP,England,United Kingdom,"Unit 1 Tarran Way South, Wirral, Moreton, England, CH46 4TP, United Kingdom",53.408901,-3.115630,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/moreton/29914-eclipse-flooring?locale=en_GB
29859,/api/store_locators/29859,Elite Installations,1a Coronation Road,,Harrogate,England,HG2 8BZ,England,United Kingdom,"1a Coronation Road, Harrogate, England, HG2 8BZ, United Kingdom",53.97703,-1.53210,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/harrogate/29859-elite-installations?locale=en_GB
29891,/api/store_locators/29891,Elvet Flooring Solutions,8 WINCHESTER ROAD,Durham,County Durham,England,,England,United Kingdom,"8 WINCHESTER ROAD, Durham, County Durham, England, United Kingdom",54.801440,-1.562990,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/county-durham/29891-elvet-flooring-solutions?locale=en_GB
30182,/api/store_locators/30182,Endurance Carpets,4 KELVIN PARADE,,Orpington,England,BR6 8BS,England,United Kingdom,"4 KELVIN PARADE, Orpington, England, BR6 8BS, United Kingdom",51.374735,0.082758,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/orpington/30182-endurance-carpets?locale=en_GB
29663,/api/store_locators/29663,Floor Depot,Eastside Road,,Chesterfield,England,S41 9AT,England,United Kingdom,"Eastside Road, Chesterfield, England, S41 9AT, United Kingdom",53.2578139,-1.4224748,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/chesterfield/29663-floor-depot?locale=en_GB
30247,/api/store_locators/30247,Floor Designs,Unit 15 Partnership House,Withambrook Park Ind. Estate,Grantham,England,NG31 9ST,England,United Kingdom,"Unit 15 Partnership House, Withambrook Park Ind. Estate, Grantham, England, NG31 9ST, United Kingdom",52.926449,-0.608490,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/grantham/30247-floor-designs?locale=en_GB
30259,/api/store_locators/30259,Flooring Developments,Unit H5 Morton Park Way,,Darlington,England,DL1 4PH,England,United Kingdom,"Unit H5 Morton Park Way, Darlington, England, DL1 4PH, United Kingdom",54.521864,-1.501686,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/darlington/30259-flooring-developments?locale=en_GB
30185,/api/store_locators/30185,Flooring Developments LTD,Unit H5 Morton Park Way,,Darlington,England,DL1 4PH,England,United Kingdom,"Unit H5 Morton Park Way, Darlington, England, DL1 4PH, United Kingdom",54.521864,-1.501686,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/darlington/30185-flooring-developments-ltd?locale=en_GB
29903,/api/store_locators/29903,Flooring Matters SW,"18 - 19, Samara Business Park,",,Newton Abbott,England,TQ12 6TR,England,United Kingdom,"18 - 19, Samara Business Park,, Newton Abbott, England, TQ12 6TR, United Kingdom",50.57483,-3.65980,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/newton-abbott/29903-flooring-matters-sw?locale=en_GB
29902,/api/store_locators/29902,Flooring Storage UK,"Unit 9 The, Summit Centre",Summit road,Potters Bar,England,EN6 3QW,England,United Kingdom,"Unit 9 The, Summit Centre, Summit road, Potters Bar, England, EN6 3QW, United Kingdom",51.704651,-0.200690,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/potters-bar/29902-flooring-storage-uk?locale=en_GB
